scan,rater_1,rater_2,rater_3,rater_4
sub-4888_ses-baseline__,yes,yes,yes,yes
sub-4889_ses-baseline__,yes,yes,yes,yes
sub-4894_ses-month24__,yes,yes,yes,yes
sub-4896_ses-baseline__,yes,yes,yes,yes
sub-4898_ses-baseline__,no,yes,no,no
sub-4900_ses-month24__,yes,yes,yes,yes
sub-4902_ses-baseline__,yes,yes,yes,yes
sub-4911_ses-baseline__,yes,yes,yes,yes
sub-4915_ses-month24__,yes,yes,yes,yes
sub-4916_ses-baseline__,yes,yes,yes,yes
sub-4921_ses-baseline__,yes,yes,yes,yes
sub-4928_ses-month24__,yes,yes,yes,yes
sub-4929_ses-baseline__,yes,yes,yes,yes
sub-4935_ses-baseline__,no,yes,no,no
sub-4937_ses-baseline__,yes,yes,yes,yes
sub-4943_ses-baseline__,yes,yes,yes,yes
sub-4954_ses-baseline__,yes,yes,yes,yes
sub-4975_ses-month24__,yes,yes,yes,yes
sub-4976_ses-baseline__,yes,yes,yes,yes
sub-4986_ses-month24__,yes,yes,yes,yes
sub-4995_ses-baseline__,yes,yes,yes,yes
sub-5484_ses-baseline__,yes,yes,yes,yes
sub-5588_ses-baseline__,yes,yes,yes,yes
sub-5608_ses-baseline__,yes,yes,yes,yes
sub-5614_ses-baseline__,yes,yes,yes,yes
sub-5622_ses-baseline__,yes,yes,yes,yes
sub-5629_ses-baseline__,yes,yes,yes,yes
sub-5683_ses-baseline__,yes,yes,yes,yes
sub-5686_ses-baseline__,yes,yes,yes,yes
sub-5687_ses-baseline__,yes,yes,yes,yes
sub-5693_ses-baseline__,yes,yes,yes,yes
sub-5751_ses-baseline__,yes,yes,yes,yes
sub-5758_ses-baseline__,yes,yes,yes,yes
sub-5759_ses-baseline__,yes,yes,yes,yes
sub-5764_ses-baseline__,yes,yes,yes,yes
sub-5785_ses-baseline__run-2,yes,yes,yes,yes
sub-5790_ses-baseline__,yes,yes,yes,yes
sub-5800_ses-baseline__,no,no,no,no
sub-5819_ses-baseline__,no,no,no,no
sub-5821_ses-baseline__,yes,yes,yes,yes
sub-5822_ses-baseline__,yes,yes,yes,yes
sub-5879_ses-baseline__,yes,yes,yes,yes
sub-5885_ses-baseline__,yes,yes,yes,yes
sub-5886_ses-baseline__,yes,yes,yes,yes
sub-5887_ses-baseline__,no,yes,yes,no
sub-5894_ses-baseline__,yes,yes,yes,yes
sub-5902_ses-baseline__,yes,yes,yes,yes
sub-5910_ses-baseline__,yes,yes,yes,yes
sub-5915_ses-baseline__,yes,yes,yes,yes
sub-5916_ses-baseline__,yes,yes,yes,yes
sub-5920_ses-baseline__,yes,yes,yes,yes
