scan,rater_1,rater_2,rater_3,rater_4
sub-8616_ses-baseline__,yes,yes,yes,yes
sub-8618_ses-month24__,yes,yes,yes,yes
sub-8620_ses-baseline__,yes,yes,yes,yes
sub-8621_ses-baseline__,yes,yes,yes,yes
sub-8623_ses-month48__,yes,yes,yes,yes
sub-8630_ses-month48__,yes,yes,yes,yes
sub-8631_ses-baseline__,yes,yes,yes,yes
sub-8633_ses-baseline__,yes,yes,yes,yes
sub-8637_ses-baseline__,yes,yes,yes,yes
sub-8646_ses-month24__,no,yes,no,yes
sub-8650_ses-baseline__,yes,yes,yes,yes
sub-8653_ses-month24__,yes,yes,yes,yes
sub-8654_ses-baseline__,yes,yes,yes,yes
sub-8657_ses-month48__,yes,yes,yes,yes
sub-8661_ses-baseline__,yes,yes,yes,yes
sub-8669_ses-month48__,yes,yes,yes,yes
sub-8670_ses-baseline__,yes,yes,yes,yes
sub-8674_ses-month24__,no,no,no,no
sub-8675_ses-month48__,yes,yes,yes,yes
sub-8676_ses-baseline__,yes,yes,yes,yes
sub-8677_ses-month48__,yes,yes,yes,yes
sub-8678_ses-baseline__,yes,yes,yes,yes
sub-8681_ses-baseline__,yes,yes,yes,yes
sub-8681_ses-month72__,yes,yes,yes,yes
sub-8689_ses-month48__,yes,yes,yes,yes
sub-8690_ses-baseline__,yes,yes,yes,yes
sub-8692_ses-month24__,yes,yes,yes,yes
sub-8694_ses-baseline__,yes,yes,yes,yes
sub-8696_ses-month48__,yes,yes,yes,yes
sub-8700_ses-baseline__,yes,yes,yes,yes
sub-8710_ses-baseline__,yes,yes,yes,yes
sub-8718_ses-month24__,yes,yes,yes,yes
sub-8720_ses-baseline__,no,no,no,no
sub-8720_ses-month24__,no,no,no,no
sub-8734_ses-baseline__,yes,yes,yes,yes
sub-8734_ses-month48__,yes,yes,yes,yes
sub-8737_ses-month24__,yes,yes,yes,yes
sub-8747_ses-baseline__,yes,yes,yes,yes
sub-8752_ses-month48__,yes,yes,yes,yes
sub-8752_ses-month72__,yes,yes,yes,yes
sub-8760_ses-baseline__,yes,yes,yes,no
sub-8764_ses-baseline__,yes,yes,yes,yes
sub-8767_ses-month48__,yes,yes,yes,yes
sub-8771_ses-month24__,yes,yes,yes,yes
sub-8771_ses-month48__,yes,yes,yes,yes
sub-8773_ses-baseline__,yes,yes,yes,yes
sub-8774_ses-baseline__,yes,yes,yes,yes
sub-8777_ses-baseline__,yes,yes,yes,yes
sub-8778_ses-baseline__,yes,yes,yes,yes
sub-8778_ses-month48__,yes,yes,yes,yes
sub-8780_ses-baseline__,yes,yes,yes,yes
sub-8782_ses-month72__,yes,yes,yes,yes
sub-8793_ses-month24__,yes,yes,yes,yes
sub-8794_ses-baseline__,yes,yes,yes,yes
sub-8804_ses-month24__,no,no,no,no
sub-8807_ses-baseline__,yes,yes,yes,yes
sub-8807_ses-month72__,yes,yes,yes,yes
sub-8809_ses-baseline__,yes,yes,yes,yes
sub-8811_ses-baseline__,yes,yes,yes,yes
sub-8812_ses-baseline__,yes,yes,yes,yes
sub-8817_ses-month24__,yes,yes,yes,yes
sub-8818_ses-baseline__,yes,yes,yes,yes
sub-8819_ses-baseline__,yes,yes,yes,yes
sub-8823_ses-baseline__,yes,yes,no,no
sub-8826_ses-month24__,yes,yes,yes,yes
sub-8826_ses-month48__,yes,yes,yes,yes
sub-8827_ses-month24__,yes,yes,yes,yes
sub-8833_ses-month24__,yes,yes,yes,yes
sub-8833_ses-month48__,yes,yes,yes,yes
sub-8834_ses-month48__,yes,yes,yes,yes
sub-8834_ses-month72__,yes,yes,yes,yes
sub-8837_ses-baseline__,yes,yes,yes,yes
sub-8838_ses-month24__,yes,yes,yes,yes
sub-8843_ses-month72__,yes,yes,yes,yes
sub-8850_ses-baseline__,yes,yes,yes,yes
sub-8852_ses-baseline__,yes,yes,yes,yes
sub-8852_ses-month48__,yes,yes,yes,yes
sub-8856_ses-baseline__,yes,yes,yes,yes
sub-8859_ses-month48__,yes,yes,yes,yes
sub-8863_ses-baseline__,yes,yes,yes,yes
sub-8867_ses-baseline__,yes,yes,yes,yes
sub-8869_ses-baseline__,yes,yes,yes,yes
sub-8870_ses-month24__,yes,yes,yes,yes
sub-8877_ses-month24__,yes,yes,yes,yes
sub-8885_ses-baseline__,yes,yes,yes,yes
sub-8894_ses-month48__,yes,yes,yes,yes
sub-8897_ses-baseline__,yes,yes,yes,yes
sub-8907_ses-month24__,yes,yes,yes,yes
sub-8907_ses-month48__,yes,yes,yes,yes
sub-8911_ses-baseline__,yes,yes,yes,yes
sub-8912_ses-month24__,yes,yes,yes,yes
sub-8922_ses-baseline__,yes,yes,yes,yes
sub-8922_ses-month24__,yes,yes,yes,yes
sub-8924_ses-month72__,yes,yes,yes,yes
sub-8928_ses-month48__,yes,yes,yes,yes
sub-8941_ses-month24__,yes,yes,yes,yes
sub-8943_ses-baseline__,yes,yes,yes,yes
sub-8944_ses-baseline__,yes,yes,yes,yes
sub-8949_ses-month48__,yes,yes,yes,yes
sub-8952_ses-baseline__,yes,yes,yes,yes
sub-8954_ses-baseline__,yes,yes,yes,yes
sub-8955_ses-month48__,yes,yes,yes,yes
sub-8961_ses-month24__,yes,yes,yes,yes
sub-8965_ses-baseline__,no,yes,no,no
sub-8966_ses-month72__,yes,yes,yes,yes
