scan,rater_1,rater_2,rater_3,rater_4
sub-wrapL0175_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0176_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0179_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0181_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0182_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0182_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0182_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0182_ses-year4_acq-unknown_,yes,yes,yes,yes
sub-wrapL0184_ses-baseline_acq-SPGR_,yes,yes,yes,no
sub-wrapL0184_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0184_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0184_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0184_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrapL0187_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0190_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0192_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0195_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0195_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapL0196_ses-year2_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0196_ses-year3_acq-unknown_,yes,yes,yes,maybe
sub-wrapL0201_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0201_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0201_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0201_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0205_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0209_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapL0216_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0217_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0217_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapL0223_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0224_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapL0224_ses-year3_acq-unknown_,yes,yes,yes,yes
