scan,rater_1,rater_2,rater_3,rater_4
sub-4890_ses-baseline__,yes,yes,yes,yes
sub-4907_ses-month24__,yes,yes,yes,yes
sub-4908_ses-baseline__,yes,yes,yes,yes
sub-4915_ses-month24__,yes,yes,yes,yes
sub-4933_ses-baseline__,yes,yes,yes,yes
sub-4934_ses-baseline__,yes,yes,yes,yes
sub-4936_ses-baseline__,yes,yes,yes,yes
sub-4941_ses-baseline__,yes,yes,yes,yes
sub-4944_ses-month24__,yes,yes,yes,yes
sub-4947_ses-baseline__,yes,yes,yes,yes
sub-4952_ses-baseline__,yes,yes,yes,yes
sub-4957_ses-month24__,yes,yes,yes,yes
sub-4961_ses-baseline__,yes,yes,yes,yes
sub-4971_ses-baseline__,yes,yes,yes,yes
sub-4976_ses-baseline__,yes,yes,yes,yes
sub-4990_ses-month24__,yes,yes,yes,yes
sub-4993_ses-month24__,yes,yes,yes,yes
sub-4997_ses-baseline__,yes,yes,yes,yes
sub-5561_ses-baseline__,yes,yes,yes,yes
sub-5605_ses-baseline__,yes,yes,yes,yes
sub-5608_ses-baseline__,yes,yes,yes,yes
sub-5688_ses-baseline__,yes,yes,yes,yes
sub-5692_ses-baseline__,yes,yes,no,no
sub-5705_ses-baseline__,yes,yes,yes,yes
sub-5708_ses-baseline__,yes,yes,yes,yes
sub-5709_ses-baseline__,yes,yes,yes,yes
sub-5715_ses-baseline__,yes,yes,yes,yes
sub-5717_ses-baseline__,yes,yes,yes,yes
sub-5741_ses-baseline__,yes,yes,yes,yes
sub-5752_ses-baseline__,yes,yes,yes,yes
sub-5753_ses-baseline__,yes,yes,yes,yes
sub-5754_ses-baseline__,yes,yes,yes,yes
sub-5766_ses-baseline__,yes,yes,yes,yes
sub-5769_ses-baseline__run-2,yes,yes,yes,yes
sub-5775_ses-baseline__,yes,yes,yes,no
sub-5785_ses-baseline__run-1,yes,yes,yes,yes
sub-5790_ses-baseline__,yes,yes,yes,yes
sub-5792_ses-baseline__,no,no,no,no
sub-5798_ses-baseline__,yes,yes,yes,yes
sub-5800_ses-baseline__,no,no,yes,no
sub-5802_ses-baseline__,no,no,no,no
sub-5809_ses-baseline__,yes,yes,yes,yes
sub-5820_ses-baseline__,yes,yes,yes,yes
sub-5826_ses-baseline__,yes,yes,yes,yes
sub-5831_ses-baseline__,yes,yes,yes,yes
sub-5833_ses-baseline__,no,no,no,no
sub-5835_ses-baseline__,yes,yes,yes,yes
sub-5840_ses-baseline__,yes,yes,yes,yes
sub-5847_ses-baseline__,yes,yes,yes,yes
sub-5874_ses-baseline__,yes,yes,yes,yes
sub-5892_ses-baseline__,yes,yes,no,yes
sub-5896_ses-baseline__,yes,yes,yes,yes
sub-5900_ses-baseline__,yes,yes,yes,yes
sub-5901_ses-baseline__,yes,yes,yes,yes
sub-5908_ses-baseline__,yes,yes,yes,yes
sub-5916_ses-baseline__,no,yes,no,no
sub-5925_ses-baseline__,no,yes,no,no
sub-5930_ses-baseline__,yes,yes,yes,yes
sub-5937_ses-baseline__,yes,yes,no,yes
sub-5940_ses-baseline__,yes,yes,yes,yes
sub-5946_ses-baseline__,yes,yes,yes,yes
sub-5961_ses-baseline__,yes,yes,yes,yes
sub-5976_ses-baseline__,yes,yes,yes,yes
sub-5991_ses-baseline__,no,yes,no,no
sub-6000_ses-baseline__,yes,yes,yes,yes
sub-6003_ses-baseline__,yes,yes,yes,yes
sub-6013_ses-baseline__,yes,yes,yes,yes
sub-6021_ses-baseline__,yes,yes,yes,yes
sub-6034_ses-baseline__,yes,yes,yes,yes
sub-6048_ses-baseline__,yes,yes,yes,yes
