scan,rater_1,rater_2,rater_3,rater_4
sub-0257_ses-adnigomonth24_acq-MPRAGE_run-1,no,no,no,yes
sub-0259_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0260_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0266_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0273_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0273_ses-adnigomonth18_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0273_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0283_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0284_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0285_ses-adni2baseline_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0285_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0289_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0290_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0290_ses-adnigomonth24_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0290_ses-adnigomonth6_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0291_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0292_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0292_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0295_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0301_ses-adni2baseline_acq-SPGR_run-1,yes,yes,yes,yes
sub-0303_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0303_ses-adnigomonth24_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0304_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0307_ses-adnigomonth18_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0307_ses-adnigomonth6_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0314_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0319_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0322_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0324_ses-adnigomonth12_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0325_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0327_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0339_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0340_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0341_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0359_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0362_ses-adnigomonth18_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0370_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0376_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0376_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0376_ses-adnigomonth6_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0377_ses-adni2year2_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0377_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0378_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0384_ses-adnigomonth36_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0389_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0392_ses-adnibaseline_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0403_ses-adnigomonth6_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0406_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0406_ses-adnigomonth36_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0407_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0410_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0413_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0413_ses-adnigomonth48_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0414_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0416_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0417_ses-adnibaseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0417_ses-adnigomonth12_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0424_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0425_ses-adnigomonth6_acq-MPRAGE_run-1,no,no,yes,no
sub-0441_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0441_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0441_ses-adnigomonth36_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0441_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0448_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0450_ses-adnigomonth6_acq-MPRAGE_run-5,no,no,yes,no
sub-0454_ses-adni2year1_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0454_ses-adni2year2_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0457_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0459_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0464_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0464_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0464_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0467_ses-adni2baseline_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0467_ses-adni2year1_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0474_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0487_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0487_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0488_ses-adnigomonth12_acq-MPRAGE_run-2,no,no,no,no
sub-0488_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0488_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0497_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0514_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0514_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0519_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0525_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0534_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0538_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0539_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0543_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0543_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0546_ses-adni2year2_acq-SPGR_run-2,yes,yes,yes,yes
sub-0547_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0551_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0553_ses-adnigomonth36_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0554_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0558_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0558_ses-adnigomonth48_acq-MPRAGE_run-1,no,no,maybe,no
sub-0559_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0559_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0563_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0563_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0563_ses-adnigomonth48_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0566_ses-adni2year2_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0566_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0572_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0572_ses-adnigomonth12_acq-MPRAGE_run-1,no,no,no,no
sub-0572_ses-adnigomonth12_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0572_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0575_ses-adni1unknown_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0577_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0578_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0588_ses-adnigomonth6_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0598_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0598_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0602_ses-adni2year3_acq-SPGR_run-1,yes,yes,yes,yes
sub-0602_ses-adnigomonth6_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0604_ses-adnigomonth24_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0610_ses-adni2year1_acq-SPGR_run-2,yes,yes,yes,yes
sub-0611_ses-adnigomonth18_acq-MPRAGE_run-1,yes,yes,yes,yes
