scan,rater_1,rater_2,rater_3,rater_4
sub-4933_ses-baseline__,yes,yes,yes,yes
sub-4934_ses-baseline__,yes,yes,yes,yes
sub-4937_ses-baseline__,yes,yes,yes,yes
sub-4939_ses-month24__,yes,yes,yes,yes
sub-4943_ses-baseline__,yes,yes,yes,yes
sub-4947_ses-month24__,yes,yes,yes,yes
sub-4948_ses-baseline__,yes,yes,yes,yes
sub-4948_ses-month24__,yes,yes,yes,yes
sub-4957_ses-month24__,yes,yes,yes,yes
sub-4966_ses-month24__,yes,yes,yes,yes
sub-4975_ses-month24__,yes,yes,yes,yes
sub-4977_ses-baseline__,yes,yes,yes,yes
sub-4980_ses-month24__,yes,yes,yes,yes
sub-4985_ses-month24__,no,no,no,no
sub-5588_ses-baseline__,yes,yes,yes,yes
sub-5608_ses-baseline__,no,no,no,no
sub-5609_ses-baseline__,yes,yes,yes,yes
sub-5623_ses-baseline__,yes,yes,yes,yes
sub-5629_ses-baseline__,yes,yes,yes,yes
sub-5640_ses-baseline__,yes,yes,yes,yes
sub-5673_ses-baseline__,yes,yes,yes,yes
sub-5687_ses-baseline__,yes,yes,yes,yes
sub-5693_ses-baseline__,yes,yes,yes,yes
sub-5708_ses-baseline__,yes,yes,yes,yes
sub-5709_ses-baseline__,yes,yes,yes,yes
sub-5743_ses-baseline__,yes,yes,yes,yes
sub-5746_ses-baseline__,yes,yes,yes,yes
sub-5753_ses-baseline__,yes,yes,yes,yes
sub-5770_ses-baseline__,yes,yes,yes,yes
sub-5776_ses-baseline__,yes,yes,yes,yes
sub-5778_ses-baseline__,yes,yes,yes,yes
sub-5782_ses-baseline__,yes,yes,yes,yes
sub-5784_ses-baseline__,maybe,no,no,no
sub-5788_ses-baseline__,yes,yes,yes,yes
sub-5789_ses-baseline__,yes,yes,yes,yes
sub-5792_ses-baseline__,yes,yes,yes,yes
sub-5799_ses-baseline__,yes,yes,yes,yes
sub-5802_ses-baseline__,no,yes,no,no
sub-5804_ses-baseline__,yes,yes,yes,yes
sub-5820_ses-baseline__,yes,yes,yes,yes
sub-5826_ses-baseline__,yes,yes,yes,yes
sub-5837_ses-baseline__,yes,yes,yes,yes
sub-5839_ses-baseline__,yes,yes,yes,yes
sub-5862_ses-baseline__,yes,yes,yes,yes
sub-5866_ses-baseline__,yes,yes,yes,yes
sub-5874_ses-baseline__,yes,yes,yes,yes
sub-5888_ses-baseline__,yes,yes,yes,yes
sub-5891_ses-baseline__,yes,yes,no,yes
sub-5896_ses-baseline__,yes,yes,yes,yes
sub-5898_ses-baseline__,yes,yes,yes,yes
sub-5900_ses-baseline__,yes,yes,yes,yes
sub-5901_ses-baseline__,yes,yes,yes,yes
sub-5904_ses-baseline__,yes,yes,yes,yes
sub-5905_ses-baseline__,yes,yes,yes,yes
sub-5910_ses-baseline__,yes,yes,yes,yes
sub-5914_ses-baseline__,yes,yes,yes,yes
sub-5915_ses-baseline__,yes,yes,yes,yes
sub-5924_ses-baseline__,yes,yes,yes,yes
sub-5930_ses-baseline__,yes,yes,yes,yes
sub-5938_ses-baseline__,yes,yes,yes,yes
sub-5943_ses-baseline__,no,no,no,no
sub-5960_ses-baseline__,yes,yes,yes,yes
sub-5974_ses-baseline__,yes,yes,yes,yes
sub-5991_ses-baseline__,yes,yes,yes,yes
sub-6039_ses-baseline__,yes,yes,yes,yes
sub-6041_ses-baseline__,yes,yes,yes,yes
sub-6045_ses-baseline__,yes,yes,yes,yes
sub-6048_ses-baseline__,yes,yes,yes,yes
sub-6061_ses-baseline__,no,no,no,no
sub-6075_ses-baseline__,yes,yes,yes,yes
sub-6084_ses-baseline__,yes,yes,yes,yes
sub-6107_ses-baseline__,yes,yes,yes,yes
sub-6112_ses-baseline__,yes,yes,yes,yes
sub-6134_ses-baseline__,yes,yes,yes,yes
sub-6135_ses-baseline__,yes,yes,yes,yes
sub-6152_ses-baseline__,yes,yes,yes,yes
sub-6162_ses-baseline__,yes,yes,yes,yes
sub-6163_ses-baseline__,yes,yes,yes,yes
sub-6164_ses-baseline__,yes,yes,yes,yes
sub-6172_ses-baseline__,yes,yes,yes,yes
sub-6173_ses-baseline__,yes,yes,yes,yes
sub-6174_ses-baseline__,yes,yes,yes,yes
sub-6179_ses-baseline__,yes,yes,yes,yes
sub-6187_ses-baseline__,yes,yes,yes,yes
sub-6191_ses-baseline__,yes,yes,yes,yes
sub-6193_ses-baseline__,yes,yes,yes,yes
sub-6194_ses-baseline__,yes,yes,yes,yes
sub-6199_ses-baseline__,yes,yes,yes,yes
sub-6210_ses-baseline__,yes,yes,yes,yes
sub-6219_ses-baseline__,yes,yes,yes,yes
sub-6222_ses-baseline__,yes,yes,yes,yes
sub-6236_ses-baseline__,yes,yes,yes,yes
sub-6254_ses-baseline__,yes,yes,yes,yes
sub-6261_ses-baseline__,yes,yes,yes,yes
sub-6264_ses-baseline__,yes,yes,yes,yes
sub-6271_ses-baseline__,yes,yes,yes,yes
sub-6272_ses-baseline__,yes,yes,yes,yes
sub-6280_ses-baseline__,yes,yes,yes,yes
sub-6281_ses-baseline__,yes,yes,yes,yes
sub-6291_ses-baseline__,yes,yes,yes,yes
sub-6296_ses-baseline__,yes,yes,yes,yes
sub-6300_ses-baseline__,yes,yes,yes,yes
sub-6307_ses-baseline__,yes,yes,yes,yes
sub-6317_ses-baseline__,yes,yes,yes,yes
sub-6319_ses-baseline__,yes,yes,yes,yes
sub-6341_ses-baseline__,yes,yes,yes,yes
sub-6350_ses-baseline__,yes,yes,yes,yes
sub-6361_ses-baseline__,yes,yes,yes,yes
sub-6377_ses-baseline__,yes,yes,yes,yes
sub-6404_ses-baseline__,maybe,yes,yes,yes
sub-6409_ses-baseline__,no,no,no,no
sub-6416_ses-baseline__,yes,yes,yes,yes
sub-6417_ses-baseline__,yes,yes,yes,yes
sub-6432_ses-baseline__,yes,yes,yes,yes
sub-6436_ses-baseline__,yes,yes,yes,yes
sub-6448_ses-baseline__,yes,yes,yes,yes
sub-6454_ses-baseline__,yes,yes,yes,yes
sub-6462_ses-baseline__,yes,yes,yes,yes
sub-6466_ses-baseline__,yes,yes,yes,yes
sub-6478_ses-baseline__,yes,yes,yes,yes
sub-6485_ses-baseline__,yes,yes,yes,yes
sub-6490_ses-baseline__,yes,yes,yes,yes
sub-6494_ses-baseline__,yes,yes,yes,yes
sub-6496_ses-baseline__,yes,yes,yes,yes
sub-6498_ses-baseline__,no,no,no,no
sub-6505_ses-baseline__,yes,yes,yes,yes
sub-6513_ses-baseline__,yes,yes,yes,yes
sub-6514_ses-baseline__,yes,yes,yes,yes
sub-6519_ses-baseline__,yes,yes,yes,yes
sub-6520_ses-baseline__,yes,yes,yes,yes
sub-6523_ses-baseline__,yes,yes,yes,yes
sub-6534_ses-baseline__,yes,yes,yes,yes
sub-6537_ses-baseline__,yes,yes,yes,yes
sub-6538_ses-baseline__,no,no,no,no
sub-6539_ses-baseline__,yes,yes,yes,yes
sub-6548_ses-baseline__,yes,yes,yes,yes
sub-6550_ses-baseline__,no,no,no,no
sub-6555_ses-baseline__,yes,yes,yes,yes
