scan,rater_1,rater_2,rater_3,rater_4
sub-5784_ses-baseline__,no,no,no,no
sub-5788_ses-baseline__,no,no,no,no
sub-5796_ses-baseline__,yes,yes,yes,yes
sub-5799_ses-baseline__,yes,yes,yes,yes
sub-5800_ses-baseline__,no,no,no,no
sub-5802_ses-baseline__,no,no,no,no
sub-5819_ses-baseline__,no,no,no,no
sub-5833_ses-baseline__,no,no,no,no
sub-5834_ses-baseline__,yes,yes,yes,yes
sub-5855_ses-baseline__,yes,yes,yes,yes
sub-5857_ses-baseline__,yes,yes,yes,yes
sub-5861_ses-baseline__,no,yes,no,no
sub-5864_ses-baseline__,yes,yes,yes,yes
sub-5904_ses-baseline__,yes,yes,yes,yes
sub-5909_ses-baseline__,yes,yes,yes,yes
sub-5916_ses-baseline__,no,no,no,no
sub-5926_ses-baseline__,no,no,no,no
sub-5938_ses-baseline__,no,no,no,no
sub-5943_ses-baseline__,no,no,no,no
sub-5952_ses-baseline__,yes,yes,yes,yes
sub-5956_ses-baseline__,no,no,no,no
sub-5958_ses-baseline__,yes,yes,yes,yes
sub-5964_ses-baseline__,no,no,no,no
sub-5971_ses-baseline__,no,no,no,no
sub-5988_ses-baseline__,yes,yes,yes,yes
sub-6040_ses-baseline__,no,no,no,no
sub-6047_ses-baseline__,no,no,no,no
sub-6049_ses-baseline__,no,no,no,no
sub-6061_ses-baseline__,no,no,no,no
sub-6074_ses-baseline__,maybe,yes,no,no
sub-6088_ses-baseline__,maybe,yes,yes,yes
sub-6089_ses-baseline__,maybe,yes,no,no
sub-6093_ses-baseline__,yes,yes,yes,yes
sub-6097_ses-baseline__,maybe,no,no,no
sub-6107_ses-baseline__,no,no,yes,yes
sub-6132_ses-baseline__,no,no,no,no
sub-6133_ses-baseline__,no,no,no,no
sub-6139_ses-baseline__,yes,yes,yes,yes
sub-6149_ses-baseline__,yes,yes,yes,yes
sub-6166_ses-baseline__,yes,yes,yes,yes
sub-6175_ses-baseline__,yes,yes,yes,yes
sub-6176_ses-baseline__,no,no,no,no
sub-6181_ses-baseline__,yes,yes,yes,yes
sub-6194_ses-baseline__,maybe,no,no,no
sub-6197_ses-baseline__,yes,yes,yes,yes
sub-6204_ses-baseline__,yes,yes,yes,yes
sub-6213_ses-baseline__,yes,yes,yes,yes
sub-6222_ses-baseline__,no,no,no,no
sub-6243_ses-baseline__,yes,yes,yes,yes
sub-6245_ses-baseline__,yes,yes,yes,yes
sub-6252_ses-baseline__,yes,yes,yes,yes
